CODE,DESCRIPTION
3982,RENOVATION - HOME A13/A (FAISAL GARIB)
3984,DHA QUETTA PLOT - 17 (051021)
4149,MEHAR TAJ & ABDUL SATTAR TRANSPORT SERVICE (MUGHAL)
4150,UMAIR TRADER
4152,"JF#14081 HASSAN JAVED & CO, CHISHTIAN"
3849,SPRINGS STORE PVT LTD
3851,MARKUP PAYABLE - ASKARI
3853,IMRAN BROKER LOAN AC
3855,"E-FARM AGRICULTURAL TECHNOLOGY COMPANY LIMITED, VIETNAM"
3856,LC/01/030/589 SILIKA GEL 22MT $23100 HMB
3857,"AGRO AGRICULTURE JOINT STOCK COMPANY, VIETNAM"
3859,"AGRO OVERSEAS FZE, GEORGIA"
3860,"THE STRAITS INTERNATIONAL PTE LTD, VIETNAM"
3862,EMAAR APARTEMNTS SALE PROCEEDS
3863,"CENOS SP. Z.O.O. UL, POLAND"
3864,GRAY MACKENZIE RESTURANTS INTERNATIONAL LTD
3866,JV FISH FARMING GUJJO
3868,RP BROKER
3869,"HERBA RICEMILLS SLU, SPAIN"
3871,MANAL ZAHID GARIB - LOAN AC
3872,SANA ZAHID GARIB - LOAN AC
3876,IGI GENERAL INSURANCE LTD
3873,COST OF VERMICELLI - MUGHAL
3875,VERMICELLI INVENTORY
3878,AL-REHMAN WELFARE TRUST (HELP PAKISTAN)
3879,HASAN RAZA TRADERS - HYDERABAD
3880,GS JAFFER SEEDS (PVT) LTD (JV-INVESTMENT 20%)
3882,DHA QUETTA PLOT-1 (ZG - INVEST 2021)
3883,DHA QUETTA PLOT-2 (ZG - INVEST 2021)
3885,TOYOTA YARIS - 2021 BTB- 641 (BAF IJARAH)
3886,TOYOTA YARIS - 2021 BTB-639 (BAF IJARAH)
3888,IRFAN ALI (TSO) - THULL
3889,ASIF ALI ABRO (TSO) - MEHER
3891,LC/01/030/622 HMB $51330 PADDY CLEANER
3892,HA NAM HOAN DUONG TRADING AND MANUFACTURING JOINT STOCK COMPANY
3894,DHA QUETTA PLOT-3 (ZG-INVEST 2021)
3896,SILVER RICE PROCESSING MILLS (CORN)
3897,ABDUL WAHAB BROKER (CORN)
3899,COST OF GOODS SOLD (CORN EXORT)
3901,ARIANA HYPER MARKET - KARACHI
3902,"GSION RESOURCES (M) SDN BHD, MALAYSIA"
3903,FAIZAN BROKER - KARACHI
3904,ABDUL RAUF DOJKI - KARACHI
3907,"GUANGDONG NEW CO-OP TIANRUN GRAIN AND OIL GROUP CO LTD, CHINA"
3908,DHA QUETTA PLOT- 5 (ZG)
3910,DHA QUETTA PLOT- 7 (ZG) 110921
3911,S.S.ENTERPRISES (MDF)
3913,THE CORPORATE SUPPLIERS AND SOLUTIONS
3914,JAPAN BELT HOUSE
3915,AL ABBAS & CO
3916,ABDULLAH TRADERS
3917,H.H.INTERNATIONAL
3918,TAHERI STEEL (GENERAL)
3919,IDREES TRADERS
3920,NASIR SIDDIQ BROTHERS (PQ)
3922,RAJ TRADERS
3923,NORTHERN TOOLING PVT LTD (PQ)
3924,"ANHUI LIGHT INDUSTRIES INTERNATIONAL CO LTD, CHINA"
3926,DHA QUETTA PLOT - 10 (ZG) 130921
3928,DHA QUETTA PLOT - 12 (ZG) 140921
3929,DHA QUETTA PLOT - 13 (ZG) 140921
3930,MUNESH TRADER - HYDERABAD
3932,DHA QUETTA PLOT-14 (ZG) 140921
3933,ABDUL REHMAN - KARACHI
3935,"BLUEBERRY CORPORATION, BANGLADESH"
3811,GS/JAS - MULTAN
3812,PIR SADIQ SHAH - BADIN
3813,SALEEM QAMAR - SAKRO
3814,AFZAL BAJWA - GHARO
3815,ZEESHAN ENTERPRISES - STEVEDORING
3936,ZEESHAN - JACOBABAD
3937,WHEAT GAIN IN STOCK
3938,SAMAD PIPE INDUSTRIES (PVT) LTD
3939,SUFIYAN STEEL
3940,SALIK ENTERPRISES
3941,REHMAN IMPEX
3943,WAZIR ALI AND COMPANY - PMC
3944,JILANI POLY INDUSTRIES PVT LTD (PP BAGS SKP2)
3945,ECU WORLDWIDE PVT LTD - (TRANSP MUGHAL)
3946,"QL FEED SDN BHD, MALAYSIA"
3947,CROWN TYRE
3948,PRA - PUNJAB SERVICE SALES TAX
3949,SRB - SINDH SERVICE SALES TAX
3950,ALLIED RENTAL MUDARBA (GENERATORS RENT)
3952,INTERNATIONAL INDUSTRIAL GASES - MDF
3953,CONTINENTAL PRINT AND PACK PVT LTD (MUGHAL)
3954,"XIAMEN C AND D COMMODITIES LIMITED, CHINA"
3955,GUL WAHAB - KARACHI
3956,MUHAMMAD BUX - KARACHI
3957,YOUNUS SOOMRO - SAKRO
3958,S.K.TRADER
3959,S.H.CORPORATION - ALTAF (SLIKA GEL)
3961,"OOO MISTRAL TRADING, RUSSIA"
3963,ZIAUDDIN TRUST HOSPITAL - KARACHI
3816,MAGNET MART - KARACHI
3817,YAMEEN BROKER - KARACHI
3818,MESKAY RICE MIIL
3819,RABIA FAROOQ GARIB/YOUSUF LOAN
3820,BIN MAHFOOZ & BAJABAIR SFZC LLC
3822,QURESHI TRADER - GHARO
3824,SALALAH FEED MILL COMPANY
3826,LC/01/030/555 BUHLER SORTEX MACHINES 9  $795000 HMB
3827,LC/01/030/559 PETROGULF PMC $70290 HMB
3828,LC/01/030/550 BULER MOTERS RS- 12.28M MBL- PAKIRAN LTF
3829,LC/01/030/551 BUHLER MOTORS RS. 5.8M MBL  PAKIRAN
3831,ALWAYS GREEN ENTERPRISE
3832,CREATIVE PACKAGING IND
3833,SANDEEP KUMAR
3835,SOLAR RE LOAN LTF GS2 LAYYAH (RECVBLE)
3837,"UNITED UR FOR INVESTMENT / UR INTERNATIONAL, NETHERLAND"
3838,CONSTRUCTION FAMILY AC - DIRECTORS
3839,CONSTRUCTION - JV PROJECT - FFZW
3841,MANZOOR AHMED AGENCY - JACOBABAD
3842,EASTLAND INDUSTRIES CORPORATION PVT LTD - (PP INKS)
3844,DHOFAR CATTLE FEED CO SAOG
3845,LC/01/030/574 PEL HMBL RS 7.48M TRANSFOR
3985,DHA QUETTA PLOT-16 (C-051021)
3987,POWER LINK ENTERPRISES (UPS MDF GHARO)
3989,SECURITY & SURVEILLANCE (PVT) LTD
3705,"SERVOTECH SHIPPING AND LOGISTICS LLC, UAE"
3706,AA9 INTERNATIONAL PVT LTD - LAHORE
3707,EURO STORE AIRPORT RAOD - LAHORE
3708,EURO STORE BEDIAN ROAD - LAHORE
3709,EURO STORE GT ROAD - LAHORE
3710,EURO STORE DHA PHASE-8 - LAHORE
3711,EURO STORE RANGER HEADQURTER - LAHORE
3712,EURO STORE MADINA COLONY GULBERG - LAHORE
3714,LC/01/030/514 PMC PETROGULF $211860 HMBL
3715,LC/01/030/515 PMC PETROGULF $105950 HMBL
3717,LC/01/030/518 PMC PETROGULF HMB $188100
3718,LC/01/030/519 PMC PETROGULF HMB $91080
3720,GHARO CANTEEN C/O ZAHID GARIB
3721,"BIN AWADH ALNAQEEB GENERAL TRADING CORP, YEMEN"
3723,BHARAT BROKER (IRRI-6)
3724,"AFROPULSE 145 (PTY) LTD, SOUTH AFRICE"
3726,"OMAN FLOUR MILLS, OMAN"
3728,TAUQEER SALE (IMRAN BROKER)
3729,DILAVER KHAN
3731,PETTY CASH - MUGHAL SALES DEPTT
3732,HUSK PURCHASE AT GHARO
3733,SHAKEEL TRADERS - KARACHI
3735,A.K.LOGISTICS (TRANSPORT)
3736,DELIVERY HERO STORES PAKISTAN (PVT) LTD (PANDA MART) KARACHI
3737,RICHA LATHER - KARACHI
3738,LC/01/030/534 WHEAT LDC 4500MT $1.369M
3739,21INSU0115-00001 MBL $4300 PRESS PLATE (MDF)
3741,UZAIR C/O AHMED GARIB
3742,"ODO ¿ECOLINEGRUPP¿ ZAVODSKAYA STR, LITHUANIA"
3744,SEED PACKING MATERIALS AC
3746,DILAWAR C/O ARIF ZAKARIA
3747,MUNEER ABBASI - KARACHI
3748,AIRLIFT GROCER (PVT) LTD
3749,AHMAD PACKAGES & TRADERS
3751,IBADULLAH C/O FAISAL SB-REF SAKHI DATA - VAR
3752,CHETAN MALL(SAJAWAL PARTY)-REF SAKHI DATA - VAR
3754,LAKHA DINO ABADGAR PESTICIDES - TANDO BAGHO
3755,SHAFIQ KHAN- ABADGAR PESTICIDES - TANDO BAGHO
3757,AMIR KAZMI REF MILLAT RICE - TMK
3758,MEHAR ALI REF MILLAT RICE - TMK
3760,SHADAB TRADER/GOLARCHI - GOLARCHI
3762,SAIN SHABBIR SHAH REF MANESH RICE MILL - KARIO
3763,JABAL SOOMRO REF MANESH RICE MILL - KARIO
3765,NAZIR SATO REF MANESH RICE MILL - KARIO
3766,RAJA SHUBBAN REF MANESH RICE MILL - KARIO
3768,CH. SAJJD REF : ANNAND FERTILIZER SURESH - SAKRO
3769,KHALID MANGHI-REF SARFARAZ FERTILIZERS - LARKANA
3771,SINDH ABADGAR ZARAI MARKAZ - DOURR
3772,UK RICE MILL - VAR
3773,TMK LAND 6.5 ACRE
3774,BAZAAR TECHNOLOGIES (PVT) LTD - (FLOUR)
3776,QUBA RICE - KARACHI
3777,TAUQEER SB - LAYYAH SEED AC
3779,HAMZA TRADERS - HYDERABAD
3780,HAFEEZ DERO C/O LOVISH FERTILIZER - NASEERABAD
3781,21INSU0115-00007 - MBL -FUJIAN KELI SEEDS CO. LTD
3783,21INSU0115-00009 - MBL -FUJIAN KELI SEEDS CO. LTD
3784,MISC RICE PARTIES IRRI-6
3785,WAHAB MUSTAFA TRADERS - HYDERABAD
3786,AMIN METRO AGARBATTI
3787,C PLUS SUPER MARKET (CHASE PLUS) KARACHI
3788,XXX UZAIR
3789,ZAHID RAREKH
3790,WASEEM USRANI - SAJJAWAL
3791,SHAN SUPER MARKET - KARACHI
3792,ALKARAM TEXTILE (GST AC)
3793,MANA'S COOKIE - KARACHI
3794,FEROZ TRADERS - KARACHI
3795,MASHAALLAH COMMISSION AGENT - GHARO
3796,THE CART - KARACHI
3797,CHAUDHRY SHAHEED - BHAGAN
3798,BIN SAFEER - KARACHI
3799,HARVESTING OPERATING AC - 2021
3800,ORGANIC MEAT CO. LTD.
3801,KOHINOOR BROKER (OTHERS)
3802,SAYLANI WELFARE
3803,NADIA GENERAL TRADING - KARACHI
3804,"SAIF (INTERNATIONAL) LIMITED, IRAQ"
3805,OCTOBERNOW-KARACHI
3806,TABBAR COMMODITIES (ABBAS JABBAR)
3807,SULTAN PAKWAN - KARACHI
3808,ALTAF BROKER IRRI-6
3809,C-HMB/01/030/215  DRAGON PMC $132160
3810,GS/JAS - SAHIWAL
3670,LC-20INSU0115-00045 MBL PRESS PLATE $4400
3671,LC-20INSU551201609 WHEAT IMP $1485K  LOUIS
3672,LC-20INSU551201601 WHEAT IMP $1498K LOUIS -CANCELD
3673,"SHENZHEN YINTUO TRADING IMPORT & EXPORT CO LTD, CHINA"
3674,MUSTUFA BAWANI
3675,HAJI SALEH
3676,"DONGGUAN NEW EASTECH GRAIN PROCESSING CO LTD, CHINA"
3677,GHARO DASTERKHWAN C/O ZAHID GARIB
3678,HUSK GRINDING PLANT - GHARO 2020
3679,ERF I & II BOK
3680,"TRANG AN TRANSPORT AND TRADING, VIETNAM"
3681,ASKARIBANK DHA BR GS AC#7100 2000 1165 7
3682,AL MAJEED RICE TRADERS
3684,GENRATOR HEAD OFFICE
3686,"GUANGZHOU WAI GUANG SUPPLY CHAIN MANAGEMENT CO LTD, CHINA"
3688,"TAN VIET BIOLOGY TECHNOLOGY JOINT STOCK COMPANY, VIETNAM"
3690,ADEEL NAGORI
3691,"GUANGDONG MIXIAOBEN IMPORT AND EXPORT CO LTD, CHINA"
3692,LC20INSU0115-00060 MBL CALCIUM $17280 54MT
3694,ZUBAIR YAQOOB
3695,"GUANGDONG FULIANG GRAIN AND OIL CO LTD, CHINA"
3697,MARKUP PAYABLE - BOK
3699,CORN LOCAL SALE
3846,LC/01/030/579 POINEER CABLES PKR 2.1M HMBL
3847,ERF-I & II  ASKARI ISLAMIC
3565,SEED AC FAHAD KHOSO -THULL
3566,MUSHTAQ NIZAMANI - TANDO BHAGO
3568,MAKKA RICE MILL - GOLARCHI
3570,MUHAMMAD YOUSIF - GOALRCHI
3572,ISHTIAQUE SHAH - MULAKATIYAR
3573,ABDUL HAKEEM FERTILIZER - CHHOR JAMALI
3574,MAJEED-SAKRO
3576,USMAN GHANI - TANDO BHAGO
3577,UNEARNED INCOME
3580,AKHTAR NAGORI
3582,MM LOAN (MF JV INVEST) AC
3584,SALES TAX SERVICE (WITHHELD BY CUSTOMERS)
3585,HASNAIN RICE TRADERS
3587,IMRAN MEMON C/O SALMAN BROKER
3588,P.B KOHINOOR BROKER
3590,LC/01/030/468 HMBL 22 MT SLICA GEL $18700 SINCHEM
3591,ABDUL RAZZAK C/O SALMAN BROKER
3593,COMMISSION & SALES PROMOTION EXP (RICE MUGHAL)
3594,COMMISSION & SALES PROMOTION EXP (WHEAT MUGHAL)
3595,KHAN BROTHERS GOODS TRANSPORT (MUGHAL)
3597,LC # 20INSU551201052 BAF WHEAT (SIERENTZ) 7000MT $ 1617000
3598,LC # 20INSU550501030 BAF WHEAT (OLAM)  6800MT $ 1494300
3599,ZAKIR HYDERABAD
3600,SARGODHA JUTE MILLS LTD
3602,YAMEEN STORE - KARACHI
3604,LC/01/030/474 HMBL PMC $41085 PETROGULF
3605,PIE IN SKY - KARACHI
3607,SKY CHEF HOSPITALITY SERVICES - KARACHI
3608,LC # 20INSU551201209  BAF WHEAT (SWISS) 7150 MT $1699528
3609,DANISH RICE
3612,KISHAN BROKER - KARACHI
3613,SILLAGE AC (SKP)
3614,"BINH PHAT FORESTRY AND AGRICULTURAL PRODUCT CO LTD, VIETNAM"
3616,JS COMMODITIES (SURESH)
3618,LC-20INSU0115-00032 VIETNAM COLR 54MT CAL CARBONATE $17118 MBL
3619,LC/01/030/484 SUMITOMO 123.75MT PMC $121275 HMB
3620,ABDULLAH BROKER - KARACHI
3622,USMAN BROKER
3623,SANA TRADERS - KPK
3625,KK ENTERPRISES KARACHI
3626,JAWAID NAGORI - KARACHI
3628,"JIANGXI HENGDING FOOD CO LTD, CHINA"
3629,M.S TRADER
3630,JUNAID NAGORI - KARACHI
3632,"OTIS MCALLISTER CHILE S.A., CHILE"
3634,"FOSHAN PIN DAO IMPORT AND EXPORT CO LTD, CHINA"
3635,SHEEBA POLY BAG PRINTER
3636,MILLAT TRADER - KARACHI
3638,KAYLASH BROKER
3639,LC/01/030/491 WHEAT 5500MT LOUIS DREYFUS $1423125 HMBL
3640,"GUANGDONG CHENGTAI RICE CO LTD, CHINA"
3641,HARVESTING AC -2020 (REC/PAY)
3642,TAUQEER - OTHERS (C&F)
3643,POLYOLS (PVT) LTD.
3644,CHILL OUT - KARACHI
3645,WHEAT EXPENSES IMPORT -2020
3646,LC/01/030/497 LOUIS DREYFUS $1365375 HMBL (WHEAT IMPORT)
3647,LC/01/030/487 PETROGULF 123.75MT PMC $115087 HMB
3648,LC/01/030/489 PETROGULF 99MT PMC $92070 HMB
3649,LC/01/030/492 STAKA $15985 LAYYHA SPARE PARTS HMB;
3650,LC/01/030/493 CHANGZHOU $37K PRINTING MACHINE FOR WOVEN BAG HMBL
3651,LC/01/030/494 GUANGDONG $13.8K GUSSETING MACHINE
3652,AL HAFEEZ CATERING SERVICE - KARACHI
3653,GHULAM SAFDAR QURESHI
3654,"SALT SEASON LLC, USA"
3655,"ARSHAD TRADERS, MANDI BAHAUDDIN"
3656,SURESH MATLI
3657,ADIL NAGORI  -KARACHI
3658,BAZAAR TECHNOLOGIES (PVT.) LTD. MUGHAL
3659,SALT AC
3660,"PRZEDSI?BIORSTWO ROL-RY? SP. Z O.O, POLAND"
3661,MANESH RICE MILL (IRRI-6)
3662,LC-20INSU0115-00044 WHEAT LOUIS $1476750  MBL  5500MT
3663,LC-20INSU551201536 WHEAT LOUISE $1365K BAF 5500MT
3664,JAMIA BAITUSSALAM - KARACHI
3665,"SHANGHAI JINLIANG AGRICULTURAL SCIENCE & TECHNOLOGY DEVELOPMENT CO LTD, CHINA"
3666,"EURICOM SPA, SPAIN"
3667,FORTIFY EDUCATION FOUNDATION - KARACHI
3668,"SHENZHEN GUOMI RICE CO LTD, CHINA"
3669,"HONG TAI XIANG IMPORT AND EXPORT CO LTD, CHINA"
3519,LC/01/030/458 HMBL PMC $59400 PETROGULF
3522,"GUANGDONG WANG TAI FOOD CO LTD, CHINA"
3524,DR.AZAM MULAKATIYAR - TMK
3526,KHALID SHAH - BADIN
3528,MA FARM CH ARSHAD - JATI
3530,KAMRAN MAGSI  - GHULAM SHAH
3531,ALI RAZA BROKER - KARACHI
3532,MEHMOOD SHAH BROKER - KARACHI
3534,MIR RAHEEL TALPUR - MATLI
3535,MURTAZA & CO. C/O ARIF ZAKARIA
3537,HANIF C/O ARIF ZAKARIA
3538,NADEEM BROKER - KARACHI
3539,AHSAN NAGORI - KARACHI
3541,KOHINOOR RICE TRADERS - HYDERABAD
3542,"GULF PACIFIC RICE CO INC, USA"
3543,INTERMARK PRODUCTS LINES PVT LTD (SHELL) ALTAF
3545,KARACHI AUTO OIL CO
3547,SALEEM MEMON - KARACHI
3548,PRIME BLEND MASTER BATCH (PVT.) LTD
3549,TAPAL ENTERPRISES (PVT.) LTD
3550,M.ARIF INDUSTRIES - MDF GHARO
3552,HMBL SALARY & WAGES LOAN (SBP) L.TERM
3553,BOP CLIFTON BRANCH 6020 0925 9300 0026
3555,"LC/01/030/466 HMB PMC PETROGLF $92,565"
3556,HUSK PURCHASE AT GOLARCHI
3558,FARHAN SALMAN BROKER - KARACHI
3559,AL-MADINA RICE MILL - GOLARCHI
3701,CORN SALE RECEIVABLE (SKP)
3703,CORN SLAE RECEIVABLE (TAUQEER)
3412,SALMAN BROTHERS  WOOD GHARO)
3414,"THE SHENZHEN NATIONAL SECURITY SUPPLY CHAIN MANAGEMENT CO LTD, CHINA"
3415,HASHIM DISTRIBUTORS
3417,SAIFY IRON PVT LTD
3418,AL-MAIMOON TRADING
3419,CS SONS
3420,CHINA BOSTER ENGRAVETECH PAK (PVT) LTD
3421,DARYA SHAH OIL & GHEE MERCHANTS - SUKKUR
3422,CONVENIENCE FOOD INDUSTRIES (PVT.) LTD.
3423,GLOBAL MARQUEES
3424,LC/01/030/423 PETROGULF HMBL $23017 PMC
3426,ATTAR BROKER
3427,BIG BUY
3428,FERTILE LAND TRADING CO
3430,AM TRADING CORPORATION
3431,SS HUSSAIN & SONS
3432,JUGNO ELECTRIC STORE
3433,MICROTECH INC
3434,JM TRADERS (ALTAF)
3435,THE MINT PRINTERS (TOFEE TV)
3437,METALLOGEN (PVT) LTD
3438,PIONEER CABLES LTD
3439,JUBILEE CORPORATION
3440,IMPERIAL IMPEX - ALTAF
3441,JUZER TRADERS (ALTAF)
3442,AURANGZEB ENGINEERING CO
3443,FOOD KRAFT - KARACHI
3445,J.M SONS (PVT) LTD
3446,HAMZA STEEL
3447,IDREES (ALTAF)
3448,SALMAN ENTERPRISES
3450,M.KHALIL ELECTRIC & CO - MOTORS
3451,MUDDASSIR ENTERPRISES- MOTORS
3452,ABDUL QADIR BROKER (HYDERABAD)
3454,MUQEEM TRADERS - SUKKUR
3455,NEDO PAKISTAN/CORPORATION
3456,WELCOME INDUSTRIAL CONCERN - SKP
3457,H.K. RUBBER INDUSTRIES PVT LTD - SKP
3459,NEW ZAFCOM TYRES COMPANY
3460,ISLAMIC FOODER (BROKER)- KARACHI
3461,NOORIE ENT. C/O AB.RAZZAK
3462,CHASE - KARACHI
3463,ZUHAIB TRADERS
3465,KISAN DOST ZARRAI INDUSTRY - (TRACTOR TROLLY) TRANSPLANTING AC-2
3466,MUNAWAR C/O ARIF ZAKARIA
3467,HUNZALA C/O ARIF ZAKARIA
3469,K.B. PRINTERS
3470,NEW DELITE COMPANY LIMITED
3471,BURHANI TRADERS (MACHINERTY SPICES)
3472,SILVER - ASIM BROKER
3473,AMEET TRADERS - JACOBABAD
3474,AL-GHAZI TRADERS - KARACHI
3476,SEYLANI WELFARE - FAISALABAD
3477,COMPUTERS WAY
3478,NAZIR KE SINDH HIGH COURT (DEPOSIT CONTIGENT)
3479,NAZIR KWSB SINDH HIGH COURT (DEPOSIT CONTIGENT)
3480,INAYAT BROKER
3481,AL KARAM RICE ENGINEERING PVT. LTD
3482,MAG RICE TRADERS C/O GHAZANFAR
3483,ADENWALLA & SONS
3484,M-HUSSAIN & CO
3485,SMS AGRO & GENERAL TRADERS - MOZAMBIQUE
3486,BAKSHI BUILDERS - MUGHAL SALE
3487,ZAKAT A/C (SAYLANI WELFARE& OTHER PERSON)
3488,RAPTURE ENTERPRISES
3489,HABIB ITTEHAD STEEL RE-ROLLINGS MILLS (SKP2)
3490,PAKISTAN NAVY
3491,"ACUTUS TRADING PTE LTD, INDONESIA"
3492,KIRAN FOUNDATION
3493,BRAND STALLION - KHI (MDF WEB SITE)
3494,MUNAWER - C/O ARIF ZAKRIA
3495,MISC GENERAL SUPPLIERS - MUGHAL
3496,HELP CARE INTERNANIONAL FOUNDATION
3497,"SEALOUD ASIA PTE LTD, INDONESIA"
3498,ISMAIL MOHSIN
3499,SILVER GRAIN FZCO
3500,LCU/01/030/443 HMBL TRANSPLANTER MACHINERY & EXC
3501,LC/01/030/446 PMC $92565 SUMITO
3502,LC/01/030/448 PMC $46035 SUMITO
3503,LC-20INSU550500454 34MT HYB SEED
3504,LC-20INSU550500452 BAF 85MT HYB SEED
3505,LC/01/030/456 PETG PMC $71280 HMB
3506,MECHANICAL FARMING OPERATING AC - 2020
3507,FAROOQ STEEL
3508,BILAL RIAZ PURCHASE AC (KASHEEF BROTHER - 2)
3509,"YUNNAN KUNJIAOTOU SUPPLY CHIAN MANAGEMENT CO LTD, CHINA"
3510,"AGROPAK DOO, SERBIA"
3511,KARACHI RELIEF TRUST
3512,"WKW GENERAL TRADING LLC, UAE"
3513,UNITED BOX MANUFACTURERS PVT. LTD
3515,ABBAS BROTHERS
3516,ICI PAKISTAN LTD.
3518,"ASCENT GROUP LTD, KENYA"
3381,SHENZHEN ZHUANGHAIQIN GRAIN AND OIL IMPORT AND EXPORT CO LTD
3383,NEVIL NUTRI FEEDS (PVT) LTD
3384,SAJJAD RESTURANT - HIGHWAY
3385,"COMFEZ PTE LTD, SRI LANKA"
3387,RICE PURCHASES (MANESH)
3390,BAITUSSALAM WELFARE TRUST
3389,JAMEEL RESTAURANT - KARACHI
3391,NILUKA FARM
3393,ISHA FOODS CO-HAITI
3394,CROWN FEED PVT LTD-SRI LANKA
3396,LC-19INSU0115-00047  BUHLER GB12679.75 SPARE PART LAMP PQ
3397,LC/01/030/406 PETROGULF $77022 HMBL PMC
3399,ZAM ZAM TRADERS - HYDERABAD
3400,"GOPI FOOD CEYLON PVT LTD, SRI LANKA"
3401,FOOD EXPRESS - KARACHI
3402,"PELWATTE DAIRY INDUSTRIES LTD, SRI LANKA"
3404,LC-20INSU0115-00002 NATIONAL PET PMC $107811 MBL
3405,MOVENPICK HOTEL KARACHI
3406,SKP-2 REPROCESSING UNIT INVNENTORY/EXP
3408,CHEF BUTLER - KARACHI
3409,S.S.IMPORTER (GUJRANWALA - DRYER KPD)
3410,SEYLANI INTERNATIONAL WELFARE - KARACHI
3561,MEHBOOB KANDRANI FERTILIZER- THULL
3562,DR.SIDDIQUE KALHORO - JAMSHORO
3275,SAJJAD & BROTHERS - THULL
3277,CORN PURCHASES (SKP)
3279,EDURA PTY LTD - SOUTH AFRICA
3280,FARHAN BROKER
3282,LC/01/030/339 HMBL $82000 PADDY DRIER SKP2 -INDUSS
3283,LC/01/030/341 HMBL ER240K SILO PQ 4 - DEHSTILER
3284,LC/01/030/342 HMBL ER107K  SILO GHARO- DESHTILIER
3286,LC/01/030/352 HMBL $79K PADDY DRIER - GHARO - INDUSS
3287,TAUQEER RICE/BY SALE
3288,ADAPTIVE TECH (SOLAR)
3289,QUICK TRADERS - KARACHI
3290,PAKISTAN RICE TRADERS - HYDERABAD
3291,AMEER HAMZA - HYDERABAD
3293,0054LCS190726 MCB BUHLER RICE MACHINERY UK GBP 25918
3295,LC/01/030/364 HMBL PMC PETROGULF $47025
3296,LC/01/030/365 HMBL PMC PETROGULF $108900
3298,LC/01/030/366 HMBL PMC VINMAR $151200
3299,SPICES EXPENSES AC
3301,WASEEM NAGORI KARACHI
3302,LC/01/030/371 HMBL PMC $54945 PETROGULF
3304,AIRMEN GOLF COURSE - KARACHI
3305,WASHO BROKER
3306,BISMILLAH SHIRMAL HOUSE - KARACHI
3308,IRFAN FOOD - KARACHI
3309,LC/01/030/376 HMBL PMC PETRGLF $54945
3310,LC/01/030/377 HMBL PMC PETRGULF $54945
3312,AKBAR AND ASSOCIATES - (ENGG CONSULTAING)
3313,LCU/01/030/382 SABIC HMBL $106920 PMC
3315,RAJAB ALI
3316,HBL (SKP2) AC # 0850 7900 2194 03
3318,HARSH ENTERPRISES
3319,STAR TRADERS - KARACHI
3320,JV-GS-KELI (PRODUCTION FARM)
3321,LOTTE KOLSON - KARACHI
3323,IMRAN C/O AB.RAZZAK & CO. (HYDERABAD)
3324,LC/01/030/387 PETROGLF HMBL $80190 PMC
3325,LC/01/030/386 PETROGLF HMBL $80190 PMC
3326,LC/01/030/388 PETROGLF HMBL $78457 PMC
3327,RAYA HOME EXPENSES LAHORE
3328,SHENZHEN XIN FU-GRAIN RICE PROCESSING LIMITED
3329,AMIN TRADER - MARDAN
3330,MUSTAFA BAWANI - MUGHAL AC
3331,LC/01/030/390 SATAKE $18K SPARE PARTS
3332,ETERNITY DISTRIBUTORS PVT LTD - KARACHI
3333,CHINA AIDI GROUP CO LTD - CHINA
3334,UNITED CATTERING - KARACHI
3335,GUANGDONG HE JIA HUAN FOOD CO LTD
3336,ARSALAN FOODS
3337,SACHA SODA C/O SAEED (GHAROO)
3338,GUANGDONG YOULIANG GRAIN AND OIL INDUSTRIAL CO LTD
3339,KST EVERGREEN (PVT) LTD
3340,SANA GARIB LFA AC
3341,CHINA INTERNATIONAL IMPORT EXPO 2019
3342,THE BANK OF KHYBER - GS AC SH-FAISAL
3343,THE BANK OF KHYBER - DHA BR (GS AC - 00436001)
3344,RETENTION AC MBL $
3345,DONGGUAN DAOCHENG RICE CO LTD
3346,HUIZHOU HEYI CEREALS CO LTD
3347,RAFIQ AHMED SIYAL - THARUSHAH
3348,SHAHNAWAZ ALI MEMON - MORO
3349,SHENZHEN LONGGANG DISTRICT CEREALS COMPANY LIMITED
3350,MUHAMMAD AFZAL - KARACHI
3351,ASAD AMAD ASSOCIATES- ZAIDA KPK
3352,AKRAM & ASGHAR CHOHAN
3354,ROZGAR TECHNOLOGIES PVT LTD - LHR
3356,ALNOOR ENTERPRISES (PACKING BAGS) KAMOKI
3357,HUNAN ECNOMIC DENGTA RICE INDUSTRIAL CO LTD
3359,RIAZ KIRYANA  - ROHRI SINDH
3360,SURTI TEXTILE MILLS - KARACHI
3361,SHENZHEN HONGYU GRAIN AND OIL CO LTD
3363,XX KAYLASH BROKER
3365,SHENZHEN DONGMAO INDUSTRY AND DEVELOPMENT CO LTD
3367,LC/01/030/394 PMC $123255 PETROG
3369,19IAU0115-00044  CALCUIM $8829
3370,LCU/01/030/396 PMC $100485 PETROGULF
3372,AWAMI TRADERS
3374,J. LAL BROKER
3375,PAK TRADERS - ANAJ BAZAR SUKKER
3376,AD LINKERS KARACHI
3378,LCU/01/030/403 TRICON $500K PLYMER
3379,BY SALE PADDY UNIT & PROCESSED UNIT SKP-2
3232,HAJI BASHIR AHMED PANHWAR - JACOBABAD
3233,LALWANI FERTILIZER AGENCY - RATO DERO
3235,NAWAB PESTICIDE AGENCY - AGHA MANI
3236,GUANGDONG YIFA PURCHASE & SALE - CHINA
